paper_title,paper_authors_names,first_author_country,date_acceptance_publication,issn_journal,doi_link,number_of_citations,number_of_references,number_of_papers_reviewed,research_questions,time_period_covered,databases_searched,inclusion_exclusion_criteria,optical_rgb_truecolor,optical_panchromatic,optical_multispectral,optical_hyperspectral,non_optical_synthetic_aperture_radar,non_optical_lidar,non_optical_thermal,non_optical_microwave,data_source_properties_spatial_resolution,data_source_properties_temporal_resolution,data_source_properties_spectral_resolution,cv_task_object_detection,cv_task_super_resolution,cv_task_semantic_segmentation,cv_task_instance_segmentation,cv_task_change_detection,cv_task_scene_classification,deeplearning_cnn,deeplearning_rnn_lstm,deeplearning_transformers,deeplearning_gan,deeplearning_autoencoders,deeplearning_unet,deeplearning_yolo,deeplearning_resnet,deeplearning_vision_transformer,application_agriforest_crop_classification,application_agriforest_crop_yield_prediction,application_agriforest_forest_cover_mapping,application_agriforest_deforestation_detection,application_agriforest_tree_canopy_detection,application_agriforest_disease_detection,application_urbaninfra_building_detection,application_urbaninfra_urban_planning,application_urbaninfra_road_network_detection,application_urbaninfra_change_detection,application_urbaninfra_infrastructure_monitoring,application_environmental_land_cover_classification,application_environmental_water_body_detection,application_environmental_natural_disaster_assessment,application_environmental_climatechange_impact,application_environmental_biodiversity_monitoring,application_coastalmarine_coastal_monitoring,application_coastalmarine_marine_ecosystem,application_coastalmarine_fish_farm_detection,application_coastalmarine_ocean_parameter_analysis,application_others_military_defence,application_others_mining,application_others_refugee_camps,application_others_archaeological_sites,application_others_weather_monitoring,application_others_ice_snow_monitoring,application_others_vehicle_detection,application_others_traffic_analysis,application_others_ship_classification_detection,application_others_oil_spill_detection,application_others_planetary_studies,technicalfocus_preprocessing_methods,technicalfocus_data_fusion_techniques,technicalfocus_transfer_learning,technicalfocus_few_shot_learning,technicalfocus_active_learning,technicalfocus_unsupervised_learning,technicalfocus_semi_supervised_learning,technicalfocus_multi_task_learning,challengeslimitations_computational_resources,challengeslimitations_data_availability,challengeslimitations_data_quality,challengeslimitations_algorithm_performance,challengeslimitations_scalability_issues,challengeslimitations_domain_adaptation,clearly_state_number_of_surveyed_papers,explicit_delineation_survey_vs_auxref,prisma_compliant_paper_selection_workflow,structured_metanalysis_dataset_available,journal_published,journal_publisher_name,year,prisma_implementation_score,full_implementation,prisma_concordance,mri_score,mri_classification
"Comprehensive survey of deep learning in remote sensing: theories, tools, and challenges for the community","John E. Ball, Derek T. Anderson, Chee Seng Chan",USA,2017-09-23,1931-3195,https://doi.org/10.1117/1.JRS.11.042609,514,419,262,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,Journal of Applied Remote Sensing,SPIE Digital Library,2017,0.0,False,False,0.5,Fair
Humanitarian applications of machine learning with remote-sensing data: review and case study in refugee settlement mapping,"John A. Quinn, Marguerite M. Nyhan, Celia Navarro, Davide Coluccia, Lars Bromley, Miguel Luengo-Oroz",USA,2018-07-02,0962-8436,http://dx.doi.org/10.1098/rsta.2017.0363,86,46,43,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,Philosophical Transactions of the Royal Society A,The Royal Society,2018,0.3333333333333333,False,False,0.07,Poor
Deep learning for remote sensing image classification: A survey,"Ying Li, Haokui Zhang, Xizhe Xue, Yenan Jiang, Qiang Shen",China,2018-04-12,1942-4787,https://doi.org/10.1002/widm.1264,253,94,90,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,WIREs Data Mining and Knowledge Discovery,Wiley,2018,0.3333333333333333,False,False,0.07,Poor
Deep Learning Meets Hyperspectral Image Analysis: A Multidisciplinary Review,"Alberto Signoroni, Mattia Savardi, Annalisa Baronio, Sergio Benini",Italy,2019-05-02,2313-433X,https://doi.org/10.3390/jimaging5050052,332,230,160,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,Journal of Imaging,MDPI,2019,0.0,False,False,0.15,Poor
"How can Big Data and machine learning benefit environment and water management: a survey of methods, applications, and future directions","Alexander Y Sun, Bridget R Scanlon",USA,2019-07-01,1748-9326,https://doi.org/10.1088/1748-9326/ab1b7d,324,218,114,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,Environmental Research Letters,IOP Science,2019,1.0,True,False,0.55,Fair
Deep learning in remote sensing applications: A meta-analysis and review,"Lei Ma, Yu Liu, Xueliang Zhang, Yuanxin Ye, Gaofei Yin, Brian Alan Johnson",China,2019-04-22,2667-3932,https://doi.org/10.1016/j.isprsjprs.2019.04.015,1528,120,176,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,ISPRS Journal of Photogrammetry and Remote Sensing,Elsevier,2019,1.0,True,False,0.4,Poor
Leveraging Modern Artificial Intelligence for Remote Sensing and NWP: Benefits and Challenges,"Sid-Ahmed Boukabara, Vladimir Krasnopolsky, Jebb Q. Stewart, Eric S. Maddy, Narges Shahroudi, Ross N. Hoffman",USA,2019-10-10,1093-9563,https://doi.org/10.1175/BAMS-D-18-0324.1,60,91,45,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,American Meteorological Society (AMS) Bulletin,American Meteorological Society ,2019,0.0,False,False,0.0,Poor
Survey of Deep-Learning Approaches for Remote Sensing Observation Enhancement,"Grigorios Tsagkatakis, Anastasia Aidini, Konstantina Fotiadou, Michalis Giannopoulos, Anastasia Pentari,  Panagiotis Tsakalides",Greece,2019-09-09,1424-8220,https://doi.org/10.3390/s19183929,108,165,102,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,Sensors,MDPI,2019,0.0,False,False,0.0,Poor
A survey of remote sensing image classification based on CNNs,"Jia Song, Shaohua Gao, Yunqiang Zhu, Chenyan Ma",China,2019-09-12,2096-4471,https://doi.org/10.1080/20964471.2019.1657720,80,86,76,False,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,Big Earth Data,Taylor and Francis,2019,0.0,False,False,0.0,Poor
"A Survey on Deep Learning-Driven Remote Sensing Image Scene Understanding: Scene Classification, Scene Retrieval and Scene-Guided Object Detection","Yating Gu, Yantian Wang, Yansheng Li",China,2019-05-16,2076-3417,https://doi.org/10.3390/app9102110,121,107,100,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,Applied Sciences,MDPI,2019,0.0,False,False,0.0,Poor
